Date,City,Category,Behaviours,Prison rescue,Begging,Factory visiting,Target,Public/Private,People/Property,People targeted in their homes?,Specific individuals targeted?,Locations,Start point,Latitude,Longitude,Space,Place,Starting Place,Type of space,Industrial,Duration,First day,Time,Working hours (7-7),monthyear,year,month,Weekday,Special date
1909 - June 20,Liverpool,Identity,Catholic procession interrupted by Orange. Stoning houses of local catholics. Furniture taken out and set on fire. Police charge them. Fight breaks out.  Escalated tit for tat. Revenge. Catholic and CofE school near each other ends in fighting between mothers.,0,0,0,Irish Catholics vs Protestants,Both,People,Yes,Catholics,"St Jospeh street, Prince Edwin street, North End, Juvenal street, Beauford street,","Prince Edwin street, Liverpool, UK",53.4180914,-2.9745096,Street (procession),,Street (procession),Streets and fields,No,Hours (afters next day,20/06/1909,Afternoon (1.30pm),Y,1909-06,1909,June,Sunday,Annual Procession??
1909 - June 26,Liverpool,Misc,Fighting on saturday night,0,0,0,Catholics vs Protestants,Public,People,No,No,??,??,NA,NA,??,,,??,No,Hours,26/06/1909,Saturday night,N,1909-06,1909,June,Saturday,No
1910 - May 28,Liverpool,Identity,Catholic Defence League attack Wiseite Crusade meeting. Marched off in formation singing hymns,0,0,0,Catholics vs Protestants,Public,People,No,No,Edge Hill,"Edge Hill, Liverpool, UK",53.401532,-2.9526119,Open air meeting,,Open air meeting,Streets and fields,No,Minutes,28/05/1910,Afternoon,Y,1910-05,1910,May,Saturday,No
1910 - June 19 & 20,Liverpool,Identity,Woman's house attacked,0,0,0,Catholics vs Protestants,Private,Both,Yes,??,"China street, Everton","China street Everton, Liverpool, UK",53.419525,-2.972854,House,,House,Home,No,Hours,19/06/1910,??,,1910-06,1910,June,Sunday,No
1910 - July 12,Liverpool,Identity,Orange parade leads to riots in St Helens. Also in Liverpool when marchers return lots of fighting. Bonfires in street. Orange children procession stoned. Songs sung,0,0,0,Catholics vs Protestants,Public,People,No,No,Lime and Ranelagh street.,"Lime street, Liverpool, UK",53.4074665,-2.9796492,Street (procession),,Street (procession),Streets and fields,No,Hours,12/07/1910,Evening (7pm),N,1910-07,1910,July,Tuesday,12th July
1910 - July,Liverpool,Identity,Woman's house torched because she was thought to be catholic,0,0,0,Catholic woman,Private,Both,Yes,Catholic,??,??,NA,NA,Home,,Home,Home,No,Hours,NA,??,,1910-07,1910,July,NA,No
1910 - July 20,Liverpool,Political / Identity,"Riot at Kirkdale election meeting. George Wise speaking, Orange band emerge from side street and fighting starts. Stones brickbats. Police stop it getting too serious. Labour meetings nearby",0,0,0,Catholics vs Protestants,Public,People,No,No,"Kirkdale, Smith Street","Kirkdale, Liverpool, UK",53.433515,-2.976365,Open air meeting,,Open air meeting,Streets and fields,No,Minutes,20/07/1910,Afternoon,Y,1910-07,1910,July,Wednesday,No
1910 - September 11,Liverpool,Identity,Protestant Sunday School children procession attacked. Had never led to trouble before,0,0,0,Catholics vs Protestants,Public,People,No,No,St Peters,"St Peters, Liverpool, UK",53.401671,-2.978474,Street,,Street,Streets and fields,No,Hours,11/09/1910,Afternoon,Y,1910-09,1910,September,Sunday,No
1910 - September 13,Liverpool,Identity,"Chinese man demanded money he was owed. Was refused so he went to Liverpool and came back with 20 compatriots, armed. Smashed up the house.",0,0,0,Specific house,Private,People,Yes,No,Birkenhead's China Town,"Birkenhead's China Town (?????), Liverpool, UK",53.386852,-3.033853,House,,House,Home,No,Hours,13/09/1910,? evening,N,1910-09,1910,September,Tuesday,No
1911 - March 19,Liverpool,Identity,"Irish National Forrester parading to Orange meeting are attacked. Weapons used. Police arrest someone and area stoned by crowd. Fighting with police and stone throwing. Badges and symbols used.
",0,0,0,Irish vs Orange,Public,Both,No,No,Everton Road. Brunswick Road,"Everton Road, Liverpool, UK",53.416341,-2.9649802,Meeting,,Meeting,Meeting Hall,No,Hours,19/03/1911,Afternoon,Y,1911-03,1911,March,Sunday,No
1911 - March 27,Liverpool,Identity / Political,Riots and processions as Bonar Law wins Bootle by-election,0,0,0,Irish vs Protestant,Public,People,No,No,North Liverpool,North Liverpool,NA,NA,Street,,Street,Streets and fields,No,Hours,27/03/1911,??,,1911-03,1911,March,Monday,Election
1911 - April 1 & 2,Liverpool,Identity,"Anti-Chinese and anti-Mormon riots. Chinese house attacked, windows broken and shutters torn down.",0,0,0,Chinese and Mormons,Both,Both,Yes,Chinese,Birkenhead's China Town. ,"Birkenhead's China Town (?????), Liverpool, UK",NA,NA,House,,House,Home,No,Hours,01/04/1911,Evening (11.45pm),N,1911-04,1911,April,Saturday,No
1911 - April 1 & 2,Liverpool,Identity,Anti-Chinese and anti-Mormon riots. Liverpool Anti-Mormon Crusade broke into meeting and disrupted it. Police clear streets but were attacked,0,0,0,Chinese and Mormons,Both,Both,Yes,Chinese,"Birkenhead's China Town (?????), Liverpool, UK","Birkenhead's China Town (?????), Liverpool, UK",NA,NA,Mormon meeting,,Mormon meeting,Church,No,Hours,01/04/1911,Evening (11.45pm),N,1911-04,1911,April,Saturday,No
1911 â€“ April 16,Liverpool,Identity,Anti-Mormon protest. Outside Mormon premises stone throwing. Police went to protect and were attacked,0,0,0,"Mormons, police",Public,People,No,No,??,Birkenhead,NA,NA,House,,House,Home,No,Days,16/04/1911,??,,1911-04,1911,April,Sunday,No
1911 - June 18,Liverpool,Identity,Catholic funeral procession attacked. Fighting. Catholic house sacked.,0,0,0,Protestants vs Catholics,Both,Both,Yes,Catholic,??,??,NA,NA,Street,,Street (procession),Streets and fields,No,Days,18/06/1911,??,,1911-06,1911,June,Sunday,No
1911 - June,Liverpool,Identity,Orange procession attack Catholic houses. Tear out window frames. Return later to stone them. Drive Catholics out of the neighbourhood.,0,0,0,Catholics,Private,Both,Yes,Catholic,"Edge Hill, Netherfield Road.","Netherfield Road, Liverpool, UK",53.418911,-2.9715555,Street (procession),,Street,Streets and fields,No,Reprisals???,NA,Morning and evening,Y,1911-06,1911,June,NA,No
1911 - August 13 - 15,Liverpool,Economic,"General transport strike. Hooting reinforcements as they arrive at Lime Street. Disorder broke out during meeting on St George's Plateau. Police attacked with sticks, stones, iron bolts, broken bottles etc. Police pelted from rooftops. Building barricades - withstood police for 36 hours. Call policemen 'scabs'. Riot between Orangemen and Irish nationalists in Great Homer Street. Windows smashed, shops looted, confestionary store totally emptied. Attack on convoy of prison vans transporting arrestees. Troops firing on crowd. Holding up tramcars. Furious baton charges. Putting manneqiuns in 'comical positions'. Fire hose used. Residents taking sides with strikers against the police",1,0,0,"Police, shops, troops. Also sectarian element",Public,Both,No,No,??,"St George's Plateau, Liverpool, UK",53.4086992,-2.9801682,Open air meeting,St Georgeâ€™s Plateau,Open air meeting,Streets and fields,Yes,Days,13/08/1911,Begins afternoon (4pm) goes through evenings and into the nights,Y,1911-08,1911,August,Sunday,No
1911 - August 31,Liverpool,Identity,"MeleÃ© at protestant meeting. Men jump on speakers platform, wild fight breaks out.",0,0,0,Protestant meeting,Public,People,No,No,"St George's Plateau.Pudsey street. Great Homer street. Vauxhall Road. Bostock street. Christian street. Scotland Road, Burlington street, Islington, London ROad, Clare street, Springfield street, St Anne stret, Queen Anne street. Also in Birkenhead","Edge Hill, Liverpool, UK",53.401532,-2.9526119,Meeting,,Meeting,Meeting Hall,No,Minutes,31/08/1911,Evening,N,1911-08,1911,August,Thursday,No
1912 - August 13,Liverpool,Economic,Picket outside factory waiting for those who didn't turn out to appear. Stoned tram car with workers in it. FIghting with police. Stoning. Baton charges,0,0,0,Knobsticks. Police,Public,People,No,No,"Edge Hill, Leigh Road","Wilson's Bobbin Works Garston, Liverpool, UK",53.351833,-2.894046,Factory,,Factory,"Workplaces (factory, workshops, docks etc)",Yes,Hours,13/08/1912,Evening (close of work),N,1912-08,1912,August,Tuesday,No
1915 - May 7,Liverpool,Identity,"Shops looted and wrecked. German homes also attacked. People trying to free prisoners (how seriously??). Germans and Austrians forbidden to use Exchange. Boycotts and strikes against Germans. Goods and furniture out in the street. Furniture set on fire in the street. Pub, pork butchers, jewellers all targeted. Demos as well. Haridressers attacked. Indiscriminate attacks on shops (german or not german). Furniture dealers, outfitters etc all targeted. Chinese laundry and sweet shop. Singing ""Tipperary"".  Burning buildings down after looting and smashing up. Impromptu piano recital. Crowd fighting over leg of boiled ham. Cash till stolen. Stock destroyed and smashed in the street. Some stones thrown at police blockade. ",1,0,0,"Germans, their homes and shops. Shops in general. Anyone thought to be anti-war",Both,Both,Yes,Germans,"Wilson's Bobbin Works, Garston. Speke Road, St Mary's Road. CHurch Road, Bands Road, King Road","Watson street Birkenhead, Liverpool, UK",53.3951416,-3.0264063,"Streets, houses, shops, pubs",,"Streets, houses, shops, pubs",Streets and fields,No,Days,07/05/1915,Evenings and night and daytimes,Y,1915-05,1915,May,Friday,No
1919 - June 8,Liverpool,Identity,"Race riot amongst sailors. Tit for tat fights escalated. Both sides armed. White mobs prowling the streets. Black man beaten and thrown off the docks. RObbed wealthy black man. Broke into black boarding house and destroyed it. Shops looted, houses smashed, furniture burned in middle of street. Throwing stones off roofs at black men. 700 men of colour having to take shelter. ",0,0,0,Black saillors,Both,Both,Yes,Black sailors,"Everton. Birkenhead (Watson street, Camden street). Bootle. Scotland Road, Breckfield road, County Road, Rise Lane, Derby road, Brock Road, Raffle street, Ellenborough street, Roderick street, Brunswick road, Brunlow hill, Kensignton, Paradise street, Mount Pleasant street, Great Homer street, Mill street, Karle Road, Edge Hill, Great George, MIle End, Smithdown Lane, Warwick street, Upper HIll street, Winder street, North Hill street, St James stereet, Lodge Lane, Crown street, Strand road, Peele road, Watson street,Dacre street, OXton Road, Rock Ferry Tranmere road, Pilgrim street, Walton road, Seacombe,Spellow Station, Fountain road, Robson street.","Upper Stanhope street, Liverpool, UK",53.3945437,-2.9706262,Sailors House,,Sailors House,"Workplaces (factory, workshops, docks etc)",No,Days,08/06/1919,Evening and night,N,1919-06,1919,June,Sunday,No
1919 - August 1,Liverpool,Misc,"Police strike leads to mass looting. Soldiers in street. Live rounds fired. Jewellers targeted. Roads littered with goods from watches to costumiers dummies. Children out in street selling stolen beer. Mass meeting of unionists in support of Police Strike. Crowds gathered in dark side streets then rushed shops quickly smashing windows with bricks. Tramway men strikein solidarity. Peopl avoid full frontal fighting with soldiers. Bayonette charges. Concentrated on shops selling food, clothing, tabacco and boots. Pianos dragged into street for impromptu concert. Trapped looters and loaded them onto lorries, these were then stoned all the way to bridleway. Beer being taken away in carts. Jewellers and pawn brokers targeted. Uniformed police called scabs and abused. ",1,0,0,Shops (far more damage than Luisitania riots),Both,Both,Sort of (looting),No,"UPper stanhope street. Toxteth park. Russel street. Great George and Pitt street. Upper Pitt street. MIll street. Warwick street, Newton street, Upper Harrington street, Parliament street, Beaufort street, Caryl street, Stanhope street, Blais street, Chilton street, Chester street, St James palce, Hill street","London Road, Liverpool, UK",53.4097351,-2.9706956,Shops,,Shops,Shop,No,Days,01/08/1919,Evening (10.30pm),N,1919-08,1919,August,Friday,No
1921 - September 12,Liverpool,Economic,"""Unemployed"" try to break into Walker art gallery after mass meeting. Trapped by police. Scuffles",0,0,0,"Police, art galler",Public,People,No,No,"London Road, Scotland Road, West Derby and Great Homer streets. Love Lane. Birkenhead. Vauxhall Road. CAsneau street. yrom street. Islinton. Paradise street, Stabley road, Church street. ","St George's Plateau, Liverpool, UK",53.4086992,-2.9801682,Open air meeting,St Georgeâ€™s Plateau,Open air meeting,Streets and fields,No,Minutes,12/09/1921,Afternoon,Y,1921-09,1921,September,Monday,No
1929 - May 14,Liverpool,Identity,"Protestant meeting breaks down as oranges, garbage, stones and concrete thrown at speaker. Police intervene leading to stampede",0,0,0,Protestant meeting,Public,People,No,No,St George's Plateau.,"Smith street, Liverpool, UK",53.4294211,-2.9793998,Open air meeting,,Open air meeting,Streets and fields,No,Minutes,14/05/1929,? Afternoon,Y,1929-05,1929,May,Tuesday,No
1931 - October 21,Liverpool,Political,disorderly election meeting,0,0,0,??,Public,People,No,No,"Smith street, Kirkdale",Liverpool and West Birkenhead,NA,NA,Meeting,,Meeting,Meeting Hall,No,Minutes,21/10/1931,? Evenings,N,1931-10,1931,October,Wednesday,No
1932 - July 14,Liverpool,Identity,"Anglican cathedrale (Lady Chapel) had its windows smashed by crowd of young people. Windows of ST James Council School nearby also smashed. Earlier in the night gang of 20 youths had thrown stones at windows of St Bernard's Roman Catholic Church. (Followed on from anti-Ritualist Protestants brawling in St Paul's Church, Stonycroft, and interrupting English Church Union's assembly - Waller p333)",0,0,0,Catholic vs Protestant,Public,Property,No,No,Liverpool and West Birkenhead,"St James Council School & Lady Chapel Anglican Cathedral, Liverpool, UK",53.397502,-2.973391,Church,,Church,Church,No,Minutes,14/07/1932,Night,N,1932-07,1932,July,Thursday,No
1932 - September 17 to 19,Liverpool,Economic,"""Unemployed"" fighting police. Communist meeting stopped by police so crowd moved off. Marching up and down smashing windows and stoning police. Whenever police appeared, rioters disappeared into houses to throw missiles down at police. Pub windows smashed and rioters helped themselves to  booze. Wire stretched across street as barricade.",0,0,0,Police. Windows.,Public,Both,No,No,St James Council School & Lady Chapel Anglican Cathedrale. St Bernards' Roman Catholic Church,"Birkenhead, Liverpool, UK",53.389991,-3.023009,Street,,Street,Streets and fields,No,Days,17/09/1932,Starts night (9pm) all through weekend until 5am Monday morning,N,1932-09,1932,September,Saturday,No
1932 - September 21 & 22,Liverpool,Economic,Rioting an 'unemployed' march in Liverpool. Windows smashed. Fighting with police. Tentative effort to loot a jewellers. Fullisade of bricks and stones thrown at police.,0,0,0,Police. Shops,Public,Both,No,No,Birkenhead,"Islington Square, Liverpool, UK",53.4113113,-2.9733786,Street (procession),Islington Square,Street (procession),Streets and fields,No,Days,21/09/1932,Afternoon and into the night,Y,1932-09,1932,September,Wednesday,No
1935 - November 2,Liverpool,Political,disorderly election meeting. Crowd attacked Ranold Churchill's van and tried to cut tyres.,0,0,0,Tory meeting,Public,Both,No,No,"Liverpool. Islington Square, Moss street, Salisbury square. great Homer street, Soho street, Langsdale street.","Harrington schools Stanhope street, Liverpool, UK",53.393178,-2.979089,Meeting,,Meeting,Meeting Hall,No,Hours,02/11/1935,Evening,N,1935-11,1935,November,Saturday,Election
1935 - November 5,Liverpool,Political,Another disorderly meeting in West Toxteth. Churchill's meeting ends in fighting. Police broke in to restore order,0,0,0,Tory meeting,Public,Both,No,No,"Harrington schools, Stanhope street","Willing road schools, Liverpool, UK",NA,NA,Meeting,,Meeting,Meeting Hall,No,Hours,05/11/1935,Evening,N,1935-11,1935,November,Tuesday,Election
